Company,Job_Title,URL,Effective_URL,HTTP_Code,Reason
Securitize,Strategy and Operations Manager at Securitize,https://job-boards.greenhouse.io/securitize/jobs/4164056009,https://job-boards.greenhouse.io/securitize?error=true,200,Greenhouse redirect to ?error=true (job removed)
Sensor Tower,"Country Manager, Brazil at Sensor Tower",https://jobs.lever.co/sensortower/eb37296c-745a-46bd-80f8-5e08262645cc,https://jobs.lever.co/sensortower/eb37296c-745a-46bd-80f8-5e08262645cc,404,HTTP 404
Sierra Club,Director of Procurement at Sierra Club,https://jobs.lever.co/sierraclub/cf3827ca-af2f-4446-9ae4-e61b9a5e03c8,https://jobs.lever.co/sierraclub/cf3827ca-af2f-4446-9ae4-e61b9a5e03c8,404,HTTP 404
"Significance, Inc.","Director Of Contracts at Significance, Inc.",https://jobs.lever.co/significanceinc/1f604682-4b94-4c78-bd07-4ab2112e614a,https://jobs.lever.co/significanceinc/1f604682-4b94-4c78-bd07-4ab2112e614a,404,HTTP 404
Snif,Chief of Staff at Snif,https://jobs.lever.co/Snif/6030fa9f-3d0a-47d7-9957-8abcf7e6784e,https://jobs.lever.co/Snif/6030fa9f-3d0a-47d7-9957-8abcf7e6784e,404,HTTP 404
Sonatype,"Regional Vice President, Strategic Accounts at Sonatype",https://jobs.lever.co/sonatype/4d3c9a77-dcbf-4de1-8c7e-293ab70f384d,https://jobs.lever.co/sonatype/4d3c9a77-dcbf-4de1-8c7e-293ab70f384d,404,HTTP 404
SpryPoint,Chief of Staff at SpryPoint,https://jobs.lever.co/sprypointservices/283ec14a-5b32-4e89-8282-deb4a8f687e7,https://jobs.lever.co/sprypointservices/283ec14a-5b32-4e89-8282-deb4a8f687e7,404,HTTP 404
Stealth Ventures at Redesign Health,Founding Chief of Staff at Stealth Ventures at Redesign Health,https://boards.greenhouse.io/stealth/jobs/5636446002,https://job-boards.greenhouse.io/stealth?error=true,404,HTTP 404
Strava,"Senior Country Manager, Benelux at Strava",https://boards.greenhouse.io/strava/jobs/3599009,https://job-boards.greenhouse.io/strava?error=true,404,HTTP 404
Strongpoint Partners,Strategy & Operations Director at Strongpoint Partners,https://job-boards.greenhouse.io/strongpointpartners/jobs/4743430008,https://job-boards.greenhouse.io/strongpointpartners?error=true,200,Greenhouse redirect to ?error=true (job removed)
